STATE,AVERAGE of WEIGHTED BY POPULATION,AVG RANKING.,OVERALL RANKING,RANK FOR SEARCH VOLUME,AVERAGE of AVG. PRECIPITATION (MM),RANK FOR RAINFALL,AVERAGE of ANNUAL MAX TEMPERATURE ,RANK FOR SUNSHINE,AVERAGE of MEDIAN YEAR BUILT,RANK FOR HOUSING AGE,AVERAGE of POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
New Jersey,178.88,10.40,1,9,"1,247",14,18,23,"1,965",4,"11,609",2
Rhode Island,115.22,13.60,2,24,"1,314",8,16,31,"1,964",1,"10,373",4
Maryland,170.88,13.60,3,10,"1,262",11,19,22,"1,978",13,"4,907",12
Pennsylvania,224.99,13.80,4,6,"1,157",20,17,28,"1,971",7,"6,247",8
Connecticut,152.09,14.20,5,12,"1,271",9,16,32,"1,968",5,"4,664",13
Louisiana,166.20,14.40,6,11,"1,504",2,26,5,"1,983",22,"2,047",32
Florida,193.76,15.00,7,8,"1,384",5,28,2,"1,991",34,"2,958",26
New York,209.06,15.40,8,7,"1,114",23,15,39,"1,964",3,"8,614",5
Massachusetts,100.26,17.00,9,28,"1,252",13,16,36,"1,964",2,"8,132",6
California,145.49,18.20,10,15,333,40,23,11,"1,979",14,"5,371",11
Maine,233.89,18.20,11,5,"1,415",4,13,42,"1,980",18,"3,175",22
New Hampshire,301.18,18.80,12,3,"1,206",17,15,37,"1,979",16,"3,229",21
Wisconsin,136.29,19.20,13,18,978,29,18,25,"1,974",9,"4,059",15
Ohio,148.42,19.60,14,14,"1,087",25,16,30,"1,971",6,"3,110",23
Virginia,133.78,19.80,15,19,"1,270",10,21,16,"1,984",27,"2,732",27
Alabama,140.96,19.80,16,17,"1,464",3,24,7,"1,988",30,"1,229",42
Hawaii,48.44,20.80,17,42,426,39,27,3,"1,977",11,"5,791",9
South Carolina,357.93,21.20,18,2,"1,245",15,23,10,"1,995",41,"1,621",38
District of Columbia,87.01,21.40,19,34,"1,093",24,19,21,"1,984",25,"11,280",3
Mississippi,110.95,21.60,20,25,"1,564",1,25,6,"1,991",35,"1,279",41
Texas,149.99,23.00,21,13,977,31,27,4,"1,994",39,"2,731",28
Illinois,35.32,23.20,22,43,"1,062",26,15,38,"1,972",8,"12,059",1
Kentucky,93.68,23.40,23,31,"1,345",7,20,19,"1,983",20,"1,543",40
Tennessee,99.10,23.80,24,29,"1,360",6,22,15,"1,988",32,"1,692",37
Oregon,91.72,24.20,25,32,"1,057",27,17,27,"1,983",21,"4,190",14
North Carolina,125.11,24.20,26,22,"1,195",18,22,14,"1,994",37,"2,305",30
Arkansas,143.70,24.80,27,16,"1,252",12,21,17,"1,997",43,"1,750",36
Minnesota,132.57,25.00,28,20,853,36,13,43,"1,982",19,"7,962",7
Michigan,107.10,25.00,29,26,962,32,14,41,"1,974",10,"3,704",16
Utah,278.67,25.20,30,4,454,37,18,26,"1,994",40,"3,397",19
Georgia,89.04,25.80,31,33,"1,213",16,24,8,"1,994",38,"1,983",34
Washington,107.04,26.00,32,27,919,34,16,35,"1,984",24,"5,394",10
Indiana,115.28,26.20,33,23,"1,144",22,17,29,"1,984",26,"2,295",31
Kansas,52.83,27.20,34,41,958,33,20,18,"1,979",15,"2,454",29
Alaska,474.21,27.20,35,1,"1,145",21,15,40,"1,988",31,779,43
Arizona,81.22,27.40,36,38,215,42,30,1,"1,993",36,"3,303",20
Missouri,85.66,27.60,37,36,"1,173",19,19,20,"1,986",28,"1,825",35
Nebraska,86.41,27.80,38,35,912,35,16,34,"1,980",17,"3,407",18
Colorado,130.65,28.00,39,21,440,38,18,24,"1,990",33,"3,062",24
Nevada,95.72,28.20,40,30,137,43,24,9,"1,996",42,"3,476",17
Oklahoma,69.91,28.60,41,39,978,30,22,12,"1,984",23,"1,605",39
New Mexico,83.25,29.00,42,37,221,41,22,13,"1,986",29,"3,014",25
Iowa,54.93,29.20,43,40,"1,007",28,16,33,"1,977",12,"2,011",33
